Start,End
2023-06-07 14:00:00.000,2023-06-07 18:00:00.000
2023-06-08 09:00:00.000,2023-06-08 11:00:00.000
2023-06-14 14:00:00.000,2023-06-14 18:00:00.000
2023-06-15 09:00:00.000,2023-06-15 11:00:00.000
2023-06-21 14:00:00.000,2023-06-21 18:00:00.000
2023-06-22 09:00:00.000,2023-06-22 11:00:00.000
2023-06-28 14:00:00.000,2023-06-28 18:00:00.000
2023-06-29 09:00:00.000,2023-06-29 11:00:00.000
2023-07-05 14:00:00.000,2023-07-05 18:00:00.000
2023-07-06 09:00:00.000,2023-07-06 11:00:00.000
2023-07-12 14:00:00.000,2023-07-12 18:00:00.000
2023-07-13 09:00:00.000,2023-07-13 11:00:00.000
2023-07-19 14:00:00.000,2023-07-19 18:00:00.000
2023-07-20 09:00:00.000,2023-07-20 11:00:00.000
2023-07-26 14:00:00.000,2023-07-26 18:00:00.000
2023-07-27 09:00:00.000,2023-07-27 11:00:00.000
2023-08-02 14:00:00.000,2023-08-02 18:00:00.000
2023-08-03 09:00:00.000,2023-08-03 11:00:00.000
2023-08-09 14:00:00.000,2023-08-09 18:00:00.000
2023-08-10 09:00:00.000,2023-08-10 11:00:00.000
2023-08-16 14:00:00.000,2023-08-16 18:00:00.000
2023-08-17 09:00:00.000,2023-08-17 11:00:00.000
2023-08-23 14:00:00.000,2023-08-23 18:00:00.000
2023-08-24 09:00:00.000,2023-08-24 11:00:00.000
